id,gmv,28.04.22,29.04.22,30.04.22,01.05.22,02.05.22,03.05.22,04.05.22,05.05.22,06.05.22,07.05.22,08.05.22,09.05.22,10.05.22,11.05.22,12.05.22,13.05.22,14.05.22,15.05.22,16.05.22,17.05.22,18.05.22,19.05.22,20.05.22,21.05.22,22.05.22,23.05.22,24.05.22,25.05.22
72582227,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93816214,179,2,6,2,0,0,3,0,1,0,0,0,0,4,13,0,0,5,0,0,1,1,4,0,0,0,0,2,3
67535877,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,9,3,0,4,10,2,2
98436573,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
50955023,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
72975440,213,1,5,6,0,0,2,4,4,1,7,5,2,10,3,2,0,0,2,0,0,0,0,0,2,0,2,2,1
66716656,222,5,3,3,4,4,1,3,0,8,3,1,0,1,1,3,1,3,3,0,1,2,3,3,0,0,0,5,0
104367667,282,3,4,3,3,3,0,5,1,1,5,3,3,0,6,3,2,2,7,1,0,5,2,5,0,6,2,0,1
38732356,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40600167,17,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
90637687,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30736836,650,5,5,0,9,8,7,12,0,9,13,7,8,7,6,1,2,16,11,3,4,4,0,8,5,8,8,6,5
57836387,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
53150520,679,0,18,0,0,11,3,16,0,17,0,9,10,1,10,0,9,9,9,7,6,13,0,22,0,0,13,3,6
27001225,402,5,8,1,11,0,4,0,0,5,3,7,3,5,1,6,5,6,3,1,5,1,6,6,6,8,1,2,3
87590190,366,0,3,8,2,5,1,1,1,9,10,8,3,2,0,0,4,14,2,2,1,1,1,9,8,0,6,1,0
66880490,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
87426351,872,0,20,9,8,9,4,10,0,9,14,1,14,17,20,0,7,3,1,6,0,23,10,12,23,10,13,0,0
61997998,96,0,3,2,4,0,0,2,1,1,0,5,2,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2
18678076,479,5,3,11,13,6,7,4,3,1,0,3,4,2,3,7,3,10,5,2,3,2,7,2,5,7,1,6,7
31162874,197,16,9,1,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
14778571,43,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,1,0,0,0,0
117278422,60,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,7,0,0,0,0,0,0,0,0,0,0
115508943,57,0,0,1,0,0,0,0,1,1,0,1,1,0,0,2,4,0,0,0,0,4,0,2,0,0,0,0,0
57803612,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0
30245375,57,1,0,0,0,0,0,0,0,3,1,0,0,1,0,4,1,0,0,0,0,1,2,2,0,0,0,1,0
56165227,36,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,2,0,0,0,1,0
14090479,172,2,2,1,6,0,1,2,0,0,0,2,2,0,0,0,6,1,6,1,0,2,3,1,0,1,2,5,0
93488555,206,14,13,6,0,0,1,3,5,5,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49840833,1 042,13,12,14,0,13,8,11,8,10,15,0,14,13,9,11,17,15,0,20,13,10,10,12,13,0,16,10,3
17105212,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,2,2
18907418,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16285893,583,1,4,6,13,3,7,6,1,9,0,0,4,11,7,0,9,15,3,9,6,2,3,10,7,8,2,10,5
112723590,714,4,4,12,1,13,5,6,7,16,11,6,7,9,10,7,6,7,7,14,7,6,3,9,1,7,1,6,5
18809121,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25723336,85,0,0,0,0,0,0,0,2,1,0,2,1,0,0,2,2,4,0,1,3,2,0,2,0,0,0,0,0
47973020,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5
26640852,87,1,1,3,0,0,0,1,1,1,4,0,0,0,1,1,0,3,0,0,0,0,0,1,3,2,0,0,1
49709748,44,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0
56918818,236,7,0,0,0,0,7,0,0,0,3,0,6,6,0,3,0,0,3,6,2,4,5,5,5,1,2,3,0
114722462,188,0,0,0,0,0,1,0,0,1,8,5,6,1,3,3,1,1,8,2,2,2,0,0,2,3,0,0,2
84510016,729,14,15,15,19,18,2,3,9,10,15,6,5,4,0,5,8,9,0,5,10,0,4,12,5,6,0,0,0
49382077,507,9,9,8,8,0,9,8,5,6,10,9,0,0,0,1,6,8,7,0,3,0,4,5,2,6,0,9,7
96044535,31,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16056485,36,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0
75826388,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
39518735,49,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,2
104171117,296,11,1,2,0,0,12,0,6,21,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
50430809,42,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1
24019255,390,1,1,8,2,5,1,4,4,3,9,4,3,5,2,2,7,9,5,0,2,2,1,1,12,2,6,4,3
82314419,72,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2,0,0,3,1,2,4,1,1,0,0,0,2
14024842,793,8,7,10,6,17,14,4,5,16,11,12,0,9,16,12,9,15,6,0,1,9,6,7,3,0,0,9,8
19366214,821,1,15,5,8,0,9,11,10,12,0,0,18,0,15,15,12,4,3,9,8,5,17,8,6,7,13,2,18
82707596,245,1,0,3,5,0,8,3,0,0,2,10,0,2,9,1,1,1,7,3,0,0,0,1,3,2,1,4,0
39354939,212,5,0,0,1,4,9,1,0,4,2,0,0,3,1,0,1,4,0,4,0,0,0,0,4,6,2,4,1
74679318,1 076,13,12,22,14,2,7,9,9,9,20,21,10,18,21,11,0,3,0,6,12,13,19,11,13,0,3,12,15
24051977,230,7,4,0,0,0,1,3,1,8,4,0,0,10,4,2,3,0,0,2,5,3,0,3,0,0,0,4,5
30867902,789,2,14,13,19,6,3,9,6,11,13,9,6,0,6,5,9,2,19,10,2,6,11,11,6,6,0,7,7
17039725,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87557461,633,0,0,10,17,1,7,9,3,1,0,0,11,4,7,1,6,15,9,7,5,4,12,7,6,6,9,10,7
19431751,1 342,18,21,23,0,11,14,14,9,9,18,0,16,13,11,16,12,17,12,17,14,15,15,4,25,0,21,11,16
115836565,278,0,6,0,4,0,0,0,0,0,7,0,7,1,14,0,4,4,1,0,4,0,2,0,5,0,9,0,6
54952754,500,4,5,4,6,6,5,7,5,3,7,8,7,3,4,0,5,5,6,5,3,7,4,3,7,7,3,5,6
23068952,443,3,4,0,6,4,7,5,1,5,3,6,8,0,1,1,4,4,7,6,2,4,5,3,9,12,10,3,0
50299527,68,0,5,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
21070136,298,0,2,7,4,5,2,7,6,3,3,1,0,0,3,0,3,0,4,4,1,3,1,3,4,5,6,6,2
83166347,317,4,8,14,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,14,2,3,0,0
14549153,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52134812,156,0,6,5,0,0,0,0,0,8,3,5,0,2,3,0,2,2,1,2,1,1,4,0,0,0,0,0,0
43090459,465,5,9,1,2,8,5,5,8,2,13,10,5,4,3,1,11,1,6,1,6,1,5,5,5,0,0,4,3
61276973,83,0,2,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,2,0,4,2,0,0,0,1,3,3,1
105285324,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0,2
59245315,114,0,1,7,0,0,4,1,0,2,2,0,0,2,1,0,0,2,1,0,0,0,0,2,0,0,0,5,0
114787931,406,8,7,0,0,4,0,0,0,0,0,0,7,6,8,1,0,3,0,11,9,7,5,0,0,0,15,12,4
117311089,71,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
83395688,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59179795,160,3,1,3,0,0,0,5,1,4,0,0,4,0,4,1,2,2,0,4,3,2,1,5,0,0,0,0,1
15433855,120,1,3,0,0,4,3,8,0,0,0,0,0,1,2,0,1,0,0,0,3,8,0,1,0,0,0,0,0
62489388,107,0,0,0,0,0,0,0,0,8,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
118785922,517,7,9,1,6,6,3,6,6,4,13,5,2,1,0,0,4,0,5,3,0,3,11,15,14,7,8,4,0
55346139,1 088,11,14,6,0,12,18,11,5,19,10,0,13,14,16,17,19,0,0,7,10,14,15,15,10,0,19,17,12
77235201,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
72811723,719,10,16,0,4,12,5,11,7,8,10,0,2,11,14,10,14,8,8,3,6,11,9,12,0,0,0,1,9
16384100,551,12,10,5,9,4,11,7,6,7,1,4,7,10,7,4,4,7,3,9,2,4,6,8,1,4,0,4,2
90932724,167,0,0,0,0,0,0,0,0,0,0,8,4,5,4,9,3,0,0,0,0,0,0,0,0,0,0,8,7
59310891,811,12,12,20,12,0,0,4,11,18,0,0,0,9,12,9,15,3,0,0,14,16,10,14,21,0,0,0,14
19169670,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
102631098,26,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42697262,147,0,3,4,2,0,6,0,1,1,7,0,3,4,0,2,3,0,0,0,1,0,0,0,3,0,0,0,0
54559719,1 286,17,8,16,18,0,0,0,0,5,26,14,18,0,15,16,18,33,19,9,0,14,20,15,26,25,4,0,12
53412742,102,0,0,0,0,4,1,1,0,2,1,1,1,1,0,3,0,0,2,0,4,0,0,2,0,1,4,0,1
83953067,71,0,0,0,0,0,0,0,5,0,2,0,0,2,2,3,0,2,0,1,0,1,0,0,1,0,0,0,1
55870463,483,2,5,12,10,6,5,2,3,3,14,7,3,8,7,18,16,8,0,0,0,0,0,2,1,0,1,1,2
24117724,579,4,8,6,3,4,5,5,3,8,0,4,10,5,9,9,8,7,1,10,7,7,6,7,5,6,4,7,4
64553833,466,5,0,1,0,0,0,6,5,3,6,4,0,7,0,3,4,14,4,0,8,4,3,3,11,13,11,8,9
23495126,144,0,0,0,0,0,0,4,0,4,0,0,0,5,2,0,1,0,0,3,7,2,1,8,0,0,0,5,1
95716615,41,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0
74908868,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
87065988,418,12,0,0,0,0,0,1,2,2,16,9,1,9,0,9,4,6,6,0,8,5,4,7,3,15,0,0,1
18809258,34,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1
15827014,632,9,4,7,0,17,5,0,0,0,0,0,0,9,10,11,12,17,0,7,10,12,10,14,13,0,0,4,2
64127850,35,0,1,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
81101934,39,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0
17826219,64,0,0,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
26771748,811,10,12,11,16,0,4,9,8,10,3,3,0,12,6,10,7,19,9,0,2,0,0,9,16,14,8,12,11
104498822,232,1,2,1,5,1,4,2,0,6,5,1,0,0,1,4,4,5,1,7,3,0,0,4,0,0,0,9,1
23527898,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
49709640,803,2,3,0,0,5,4,8,9,5,13,4,7,4,23,9,10,10,8,13,0,17,11,11,14,8,6,2,17
48071267,645,9,11,9,5,9,11,5,5,11,5,5,3,4,6,7,8,10,4,9,11,2,0,10,6,2,7,6,4
13828114,266,3,2,4,0,3,6,0,0,4,6,2,3,2,0,4,4,5,1,0,0,0,4,4,4,4,2,9,0
37618426,56,0,0,1,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,1,1,1,1,1,2,0,1,0
14975009,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55706517,117,0,0,0,0,0,4,0,0,10,0,0,0,0,0,7,9,0,0,5,0,0,0,0,0,0,0,0,0
